level,pos,id,type,char,name,freq,grade,strokes,parts,source
22,28,k:争,kanji,争,contend,555,4,6,了 勹 ヨ,auto
22,29,k:河,kanji,河,river (2),519,5,8,氵 可,auto
23,0,k:職,kanji,職,post,439,5,18,音 耳 戈,auto
23,1,k:丸,kanji,丸,round,726,2,3,九 丶,auto
23,2,k:勢,kanji,勢,forces,480,5,13,力 土 丸 儿,auto
23,3,k:案,kanji,案,plan,530,4,10,木 安,auto
23,4,k:旅,kanji,旅,trip,636,3,10,𠂉 方,auto
23,5,k:施,kanji,施,carry out,420,8,9,旅 也,override
23,6,k:派,kanji,派,faction,470,6,9,氵 厂 斤,auto
23,7,k:休,kanji,休,rest,675,1,6,亻 木,auto
23,8,k:候,kanji,候,climate,534,4,10,亻 矢 ユ,auto
23,9,k:張,kanji,張,stretch,506,5,11,長 弓,override
23,10,r:初,radical,衤,cloak,,,5,,radical
23,11,k:補,kanji,補,supplement,479,6,12,衤 用 十,auto
23,12,r:辰,radical,辰,clam,,,7,,radical
23,13,k:震,kanji,震,quake,408,8,15,雨 辰,auto
23,14,r:韋,radical,韋,tanned hide,,,9,,radical
23,15,k:違,kanji,違,difference,425,8,13,辶 韋,auto
23,16,k:港,kanji,港,harbor,544,3,12,氵 井 已,auto
23,17,r:犯,radical,犭,hound,,,3,,radical
23,18,k:待,kanji,待,wait,601,3,9,彳 寺,auto
23,19,k:末,kanji,末,last,583,4,5,本 六,override
23,20,k:条,kanji,条,article,547,5,7,木 夂,auto
23,21,k:独,kanji,独,single,531,5,9,犭 虫,auto
23,22,k:態,kanji,態,attitude,462,5,14,能 心,auto
23,23,k:程,kanji,程,extent,509,5,12,和 王,auto
23,24,k:規,kanji,規,standard,517,5,11,人 大 見 土,auto
23,25,k:若,kanji,若,young,522,6,8,艹 右,auto
23,26,k:守,kanji,守,protect,600,3,6,宀 寸,override
23,27,k:復,kanji,復,restore,512,5,12,彳 旦 夂,auto
23,28,k:司,kanji,司,director,589,4,5,口 了,auto
23,29,k:深,kanji,深,deep,561,3,11,氵 冖 木 儿,auto
24,0,k:非,kanji,非,injustice,545,5,8,,override
24,1,k:銀,kanji,銀,silver,568,3,14,金 艮,auto
24,2,k:株,kanji,株,stocks,484,6,10,木 牛,auto
24,3,k:視,kanji,視,inspection,476,6,11,礻 見,auto
24,4,k:敗,kanji,敗,failure,548,4,11,貝 攵,auto
24,5,k:質,kanji,質,substance,526,5,15,貝 斤,auto
24,6,k:帯,kanji,帯,sash,557,4,10,冖 巾,auto
24,7,k:被,kanji,被,incur,467,8,10,衤 皮,auto
24,8,k:修,kanji,修,discipline,539,5,10,亻 攵 彡,auto
24,9,k:草,kanji,草,grass,631,1,9,艹 早,auto
24,10,k:裁,kanji,裁,tailor,477,6,12,去 衣 戈,auto
24,11,k:破,kanji,破,rend,546,5,10,石 皮,auto
24,12,k:座,kanji,座,squat,528,6,10,广 人 土,auto
24,13,k:芸,kanji,芸,technique,593,4,7,艹 厶,auto
24,14,k:停,kanji,停,halt,542,5,11,冖 何,auto
24,15,k:撃,kanji,撃,attack,410,8,15,手 車 殳,override
24,16,k:却,kanji,却,instead,1070,8,7,去 卩,auto
24,17,k:景,kanji,景,scenery,854,4,12,日 京,auto
24,18,k:影,kanji,影,shadow,412,8,15,景 彡,auto
24,19,k:脚,kanji,脚,skids,444,8,11,月 却,auto
24,20,k:航,kanji,航,navigate,552,5,10,舟 几,auto
24,21,k:験,kanji,験,verification,541,4,18,𠆢 人 馬 口,auto
24,22,k:辺,kanji,辺,environs,617,4,5,辶 刀,auto
24,23,k:比,kanji,比,compare,608,5,4,,auto
24,24,k:及,kanji,及,reach out,543,8,3,,auto
24,25,k:夏,kanji,夏,summer,651,2,10,自 夂,auto
24,26,k:督,kanji,督,coach,437,8,13,県 卜 又,auto
24,27,k:級,kanji,級,class,609,3,9,系 及,auto
24,28,k:皆,kanji,皆,all,982,8,9,白 比,auto
24,29,k:階,kanji,階,storey,586,3,12,阝 皆,auto
25,0,k:江,kanji,江,creek,497,8,6,氵 工,auto
25,1,k:衛,kanji,衛,defense,488,5,16,行 韋,override
25,2,k:担,kanji,担,shouldering,563,6,8,扌 旦,auto
25,3,k:血,kanji,血,blood,724,3,6,,auto
25,4,k:衆,kanji,衆,masses,502,6,12,血 糸,auto
25,5,k:増,kanji,増,increase,537,5,14,日 田 土,auto
25,6,k:庫,kanji,庫,warehouse,610,3,10,广 車,auto
25,7,k:郡,kanji,郡,county,560,4,10,君 阝,auto
25,8,k:差,kanji,差,distinction,591,4,10,工 羊,auto
25,9,k:旧,kanji,旧,old times,612,5,5,日 ｜,auto
25,10,k:含,kanji,含,include,527,8,7,今 口,override
25,11,k:細,kanji,細,dainty,626,2,11,田 糸,auto
25,12,k:量,kanji,量,quantity,579,4,12,里 旦,auto
25,13,k:低,kanji,低,lower,650,4,7,亻 氏,auto
25,14,k:席,kanji,席,seat,596,4,10,广 巾 凵,auto
25,15,k:類,kanji,類,sort,532,4,18,大 米 頁,auto
25,16,k:器,kanji,器,utensil,577,4,15,大 口,auto
25,17,k:玄,kanji,玄,mysterious,1244,8,5,,auto
25,18,k:芝,kanji,芝,turf,1121,8,6,亠 艹,auto
25,19,k:富,kanji,富,wealth,581,4,12,宀 田 口,auto
25,20,k:率,kanji,率,ratio,569,5,11,十 玄 冫,auto
25,21,k:難,kanji,難,difficult,493,6,18,器 芝 隹,auto
25,22,k:準,kanji,準,semi-,554,5,13,氵 隹,auto
25,23,k:突,kanji,突,stab,524,8,8,大 穴,auto
25,24,k:沢,kanji,沢,swamp,503,8,7,氵 尸,auto
25,25,k:覚,kanji,覚,memorize,584,4,12,⺌ 冖 見,auto
25,26,k:証,kanji,証,evidence,535,5,12,言 正,auto
25,27,k:奈,kanji,奈,Nara,588,4,8,大 示,auto
25,28,k:巻,kanji,巻,scroll,570,6,9,大 已,auto
25,29,k:秒,kanji,秒,second (1/60 minute),919,3,9,少 禾,auto
26,0,k:称,kanji,称,appellation,483,8,10,𠂉 秒,auto
26,1,k:異,kanji,異,uncommon,556,6,11,田 井,auto
26,2,k:津,kanji,津,haven,494,8,9,氵 聿,auto
26,3,k:紀,kanji,紀,chronicle,565,5,9,糸 已,auto
26,4,k:買,kanji,買,buy,682,2,12,,auto
26,5,k:清,kanji,清,pure,603,4,11,氵 青,auto
26,6,k:遠,kanji,遠,distant,659,2,13,辶 口 土 衣,auto
26,7,k:望,kanji,望,ambition,606,4,11,月 王 亡,auto
26,8,k:逮,kanji,逮,apprehend,486,8,11,辶 隶,auto
26,9,k:笑,kanji,笑,laugh,619,4,10,大 竹 禾,auto
26,10,k:価,kanji,価,value,616,5,8,亻 西,auto
26,11,k:働,kanji,働,work,628,4,13,亻 日 力 万,auto
26,12,k:宅,kanji,宅,home,614,6,6,宀 乙,auto
26,13,k:渡,kanji,渡,transit,516,8,12,氵 广 又,auto
